zip,city,state,county
90001,Los Angeles,CA,Los Angeles
90002,Los Angeles,CA,Los Angeles
90003,Los Angeles,CA,Los Angeles
90004,Los Angeles,CA,Los Angeles
90005,Los Angeles,CA,Los Angeles
90006,Los Angeles,CA,Los Angeles
90007,Los Angeles,CA,Los Angeles
90008,Los Angeles,CA,Los Angeles
90009,Los Angeles,CA,Los Angeles
90010,Los Angeles,CA,Los Angeles
90011,Los Angeles,CA,Los Angeles
90012,Los Angeles,CA,Los Angeles
90013,Los Angeles,CA,Los Angeles
90014,Los Angeles,CA,Los Angeles
90015,Los Angeles,CA,Los Angeles
90016,Los Angeles,CA,Los Angeles
90017,Los Angeles,CA,Los Angeles
90018,Los Angeles,CA,Los Angeles
90019,Los Angeles,CA,Los Angeles
90020,Los Angeles,CA,Los Angeles
90021,Los Angeles,CA,Los Angeles
90022,Los Angeles,CA,Los Angeles
90023,Los Angeles,CA,Los Angeles
90024,Los Angeles,CA,Los Angeles
90025,Los Angeles,CA,Los Angeles
90026,Los Angeles,CA,Los Angeles
90027,Los Angeles,CA,Los Angeles
90028,Los Angeles,CA,Los Angeles
90029,Los Angeles,CA,Los Angeles
90030,Los Angeles,CA,Los Angeles
90031,Los Angeles,CA,Los Angeles
90032,Los Angeles,CA,Los Angeles
90033,Los Angeles,CA,Los Angeles
90034,Los Angeles,CA,Los Angeles
90035,Los Angeles,CA,Los Angeles
90036,Los Angeles,CA,Los Angeles
90037,Los Angeles,CA,Los Angeles
90038,Los Angeles,CA,Los Angeles
90039,Los Angeles,CA,Los Angeles
90040,Los Angeles,CA,Los Angeles
90041,Los Angeles,CA,Los Angeles
90042,Los Angeles,CA,Los Angeles
90043,Los Angeles,CA,Los Angeles
90044,Los Angeles,CA,Los Angeles
90045,Los Angeles,CA,Los Angeles
90046,Los Angeles,CA,Los Angeles
90047,Los Angeles,CA,Los Angeles
90048,Los Angeles,CA,Los Angeles
90049,Los Angeles,CA,Los Angeles
90050,Los Angeles,CA,Los Angeles
90051,Los Angeles,CA,Los Angeles
90052,Los Angeles,CA,Los Angeles
90053,Los Angeles,CA,Los Angeles
90054,Los Angeles,CA,Los Angeles
90055,Los Angeles,CA,Los Angeles
90056,Los Angeles,CA,Los Angeles
90057,Los Angeles,CA,Los Angeles
90058,Los Angeles,CA,Los Angeles
90059,Los Angeles,CA,Los Angeles
90060,Los Angeles,CA,Los Angeles
90061,Los Angeles,CA,Los Angeles
90062,Los Angeles,CA,Los Angeles
90063,Los Angeles,CA,Los Angeles
90064,Los Angeles,CA,Los Angeles
90065,Los Angeles,CA,Los Angeles
90066,Los Angeles,CA,Los Angeles
90067,Los Angeles,CA,Los Angeles
90068,Los Angeles,CA,Los Angeles
90069,West Hollywood,CA,Los Angeles
90070,Los Angeles,CA,Los Angeles
90071,Los Angeles,CA,Los Angeles
90072,Los Angeles,CA,Los Angeles
90073,Los Angeles,CA,Los Angeles
90074,Los Angeles,CA,Los Angeles
90075,Los Angeles,CA,Los Angeles
90076,Los Angeles,CA,Los Angeles
90077,Los Angeles,CA,Los Angeles
90078,Los Angeles,CA,Los Angeles
90079,Los Angeles,CA,Los Angeles
90080,Los Angeles,CA,Los Angeles
90081,Los Angeles,CA,Los Angeles
90082,Los Angeles,CA,Los Angeles
90083,Los Angeles,CA,Los Angeles
90084,Los Angeles,CA,Los Angeles
90086,Los Angeles,CA,Los Angeles
90087,Los Angeles,CA,Los Angeles
90088,Los Angeles,CA,Los Angeles
90089,Los Angeles,CA,Los Angeles
90091,Los Angeles,CA,Los Angeles
90093,Los Angeles,CA,Los Angeles
90094,Los Angeles,CA,Los Angeles
90095,Los Angeles,CA,Los Angeles
90096,Los Angeles,CA,Los Angeles
90099,Los Angeles,CA,Los Angeles
90101,Los Angeles,CA,Los Angeles
90102,Los Angeles,CA,Los Angeles
90103,Los Angeles,CA,Los Angeles
90189,Los Angeles,CA,Los Angeles
90201,Bell,CA,Los Angeles
90202,Bell Gardens,CA,Los Angeles
90209,Beverly Hills,CA,Los Angeles
90210,Beverly Hills,CA,Los Angeles
90211,Beverly Hills,CA,Los Angeles
90212,Beverly Hills,CA,Los Angeles
90213,Beverly Hills,CA,Los Angeles
90220,Compton,CA,Los Angeles
90221,Compton,CA,Los Angeles
90222,Compton,CA,Los Angeles
90223,Compton,CA,Los Angeles
90224,Compton,CA,Los Angeles
90230,Culver City,CA,Los Angeles
90231,Culver City,CA,Los Angeles
90232,Culver City,CA,Los Angeles
90233,Culver City,CA,Los Angeles
90239,Downey,CA,Los Angeles
90240,Downey,CA,Los Angeles
90241,Downey,CA,Los Angeles
90242,Downey,CA,Los Angeles
90245,El Segundo,CA,Los Angeles
90247,Gardena,CA,Los Angeles
90248,Gardena,CA,Los Angeles
90249,Gardena,CA,Los Angeles
